iter	Passed	Remaining
398	100094	401632
399	100340	401361
400	100602	401153
401	100854	400910
402	101110	400679
403	101358	400415
404	101604	400147
405	101838	399830
406	102072	399511
407	102322	399257
408	102576	399019
409	102819	398739
410	103076	398512
411	103333	398287
412	103581	398023
413	103828	397757
414	104080	397513
415	104324	397233
416	104577	396993
417	104843	396799
418	105088	396525
419	105346	396303
420	105622	396148
421	105882	395930
422	106123	395644
423	106384	395429
424	106614	395102
425	106860	394832
426	107106	394563
427	107370	394359
428	107612	394076
429	107854	393795
430	108115	393578
431	108356	393293
432	108600	393016
433	108860	392800
434	109101	392514
435	109372	392334
436	109624	392088
437	109897	391917
438	110141	391640
439	110399	391416
440	110667	391227
441	110917	390972
442	111182	390770
443	111459	390608
444	111710	390359
445	111966	390123
446	112228	389910
447	112491	389704
448	112763	389523
449	113004	389236
450	113262	389010
451	113493	388691
452	113737	388416
453	114000	388205
454	114280	388052
455	114544	387844
456	114778	387535
457	115023	387263
458	115271	387001
459	115541	386812
460	115792	386560
461	116041	386301
462	116294	386057
463	116543	385800
464	116786	385522
465	117031	385250
466	117294	385038
467	117528	384730
468	117788	384506
469	118033	384235
470	118295	384020
471	118559	383809
472	118820	383592
473	119070	383335
474	119332	383120
475	119585	382875
476	119842	382640
477	120083	382357
478	120345	382139
479	120599	381898
480	120847	381637
481	121100	381392
482	121351	381139
483	121585	380834
484	121829	380561
485	122078	380302
486	122322	380029
487	122594	379840
488	122848	379597
489	123110	379382
490	123368	379149
491	123629	378930
492	123893	378715
493	124144	378465
494	124384	378179
495	124635	377927
496	124898	377711
497	125152	377467
498	125421	377270
499	125659	376978
500	125912	376731
501	126175	376515
502	126439	376302
503	126685	376035
504	126930	375764
505	127183	375519
506	127441	375285
507	127697	375049
508	127944	374785
509	128202	374551
510	128438	374255
511	128692	374012
512	128949	373777
513	129199	373523
514	129454	373281
515	129712	373047
516	129963	372796
517	130212	372539
518	130460	372276
519	130706	372011
520	130960	371767
521	131214	371522
522	131462	371262
523	131718	371023
524	131975	370787
525	132217	370510
526	132454	370218
527	132698	369947
528	132950	369696
529	133211	369473
530	133466	369230
531	133762	369103
532	134009	368839
533	134259	368585
534	134505	368319
535	134768	368098
536	135014	367832
537	135261	367568
538	135513	367319
539	135768	367079
540	136021	366831
541	136289	366622
542	136539	366368
543	136802	366147
544	137041	365863
545	137302	365638
546	137549	365373
547	137800	365122
548	138059	364888
549	138306	364626
550	138562	364387
551	138840	364205
552	139098	363970
553	139361	363747
554	139612	363496
555	139866	363249
556	140127	363024
557	140406	362842
558	140664	362606
559	140933	362399
560	141204	362197
561	141457	361950
562	141708	361696
563	141939	361392
564	142187	361132
565	142443	360889
566	142699	360649
567	142940	360372
568	143218	360186
569	143478	359954
570	143731	359705
571	143969	359420
572	144223	359175
573	144470	358911
574	144708	358626
575	144954	358360
576	145200	358094
577	145450	357838
578	145708	357602
579	145990	357424
580	146238	357165
581	146476	356879
582	146730	356633
583	146985	356390
584	147258	356190
585	147504	355924
586	147768	355701
587	148011	355427
588	148280	355219
589	148532	354966
590	148807	354770
591	149062	354527
592	149305	354253
593	149587	354073
594	149831	353803
595	150079	353542
596	150321	353267
597	150573	353017
598	150840	352800
599	151091	352547
600	151342	352292
601	151584	352019
602	151844	351785
603	152103	351549
604	152350	351288
605	152614	351064
606	152879	350842
607	153147	350627
608	153415	350412
609	153673	350174
610	153922	349915
611	154185	349687
612	154439	349441
613	154688	349181
614	154937	348924
615	155202	348702
616	155464	348471
617	155723	348236
618	155996	348031
619	156249	347780
620	156497	347520
621	156737	347241
622	156980	346970
623	157224	346700
624	157474	346444
625	157730	346199
626	157990	345965
627	158235	345699
628	158511	345499
629	158752	345224
630	159025	345018
631	159292	344798
632	159546	344550
633	159799	344300
634	160057	344060
635	160315	343820
636	160575	343586
637	160828	343335
638	161107	343141
639	161349	342868
640	161608	342629
641	161846	342347
642	162112	342125
643	162379	341904
644	162641	341673
645	162898	341430
646	163146	341169
647	163389	340898
648	163644	340653
649	163910	340429
650	164170	340193
651	164419	339933
652	164667	339673
653	164919	339421
654	165171	339168
655	165408	338885
656	165662	338636
657	165893	338341
658	166147	338093
659	166397	337837
660	166667	337620
661	166918	337367
662	167202	337179
663	167440	336897
664	167699	336658
665	167939	336383
666	168208	336164
667	168459	335909
668	168740	335716
669	168988	335454
670	169256	335234
671	169509	334982
672	169752	334712
673	169994	334440
674	170263	334221
675	170519	333976
676	170775	333731
677	171019	333463
678	171275	333217
679	171529	332968
680	171776	332705
681	172043	332482
682	172296	332232
683	172566	332013
684	172814	331752
685	173070	331507
686	173308	331227
687	173560	330975
688	173810	330719
689	174080	330501
690	174348	330277
691	174607	330038
692	174860	329787
693	175116	329542
694	175362	329277
695	175617	329030
696	175868	328775
697	176108	328500
698	176376	328277
699	176616	328001
700	176862	327738
701	177127	327510
702	177387	327271
703	177619	326980
704	177877	326739
705	178133	326493
706	178379	326229
707	178624	325964
708	178875	325709
709	179130	325462
710	179382	325209
711	179616	324924
712	179874	324681
713	180146	324464
714	180407	324228
715	180652	323963
716	180912	323725
717	181180	323501
718	181424	323233
719	181684	322994
720	181924	322720
721	182188	322488
722	182441	322238
723	182693	321984
724	182940	321723
725	183186	321458
726	183444	321216
727	183708	320985
728	183938	320694
729	184185	320432
730	184466	320229
731	184746	320024
732	185002	319778
733	185259	319534
734	185525	319306
735	185766	319033
736	186035	318810
737	186284	318550
738	186540	318305
739	186784	318038
740	187047	317803
741	187313	317573
742	187556	317305
743	187788	317019
744	188048	316779
745	188295	316518
746	188549	316268
747	188797	316009
748	189056	315766
749	189291	315485
750	189547	315240
751	189805	314996
752	190066	314758
753	190330	314525
754	190582	314270
755	190835	314019
756	191097	313784
757	191344	313523
758	191603	313281
759	191856	313029
760	192118	312792
761	192383	312560
762	192624	312288
763	192896	312067
764	193158	311830
765	193421	311596
766	193728	311430
767	193988	311189
768	194260	310968
769	194520	310728
770	194784	310492
771	195042	310248
772	195295	309996
773	195568	309775
774	195814	309513
775	196069	309263
776	196318	309005
777	196585	308775
778	196840	308526
779	197078	308251
780	197332	308000
781	197586	307749
782	197836	307493
783	198100	307257
784	198347	306996
785	198592	306731
786	198846	306481
787	199099	306228
788	199347	305969
789	199588	305698
790	199841	305447
791	200096	305198
792	200365	304970
793	200615	304713
794	200875	304471
795	201145	304244
796	201392	303983
797	201649	303737
798	201909	303496
799	202159	303239
800	202423	303003
801	202672	302745
802	202912	302473
803	203158	302211
804	203408	301953
805	203684	301735
806	203945	301495
807	204194	301237
808	204439	300972
809	204699	300731
810	204944	300467
811	205211	300236
812	205464	299983
813	205723	299740
814	205990	299507
815	206225	299229
816	206476	298973
817	206751	298753
818	207022	298526
819	207278	298278
820	207526	298019
821	207801	297797
822	208070	297568
823	208321	297312
824	208592	297086
825	208846	296834
826	209099	296583
827	209366	296350
828	209640	296126
829	209887	295864
830	210128	295595
831	210393	295359
832	210648	295109
833	210903	294859
834	211149	294598
835	211402	294344
836	211658	294096
837	211910	293841
838	212167	293595
839	212421	293343
840	212660	293071
841	212931	292843
842	213193	292604
843	213462	292372
844	213716	292120
845	213953	291846
846	214216	291608
847	214464	291347
848	214712	291088
849	214959	290827
850	215219	290583
851	215477	290337
852	215742	290102
853	216002	289858
854	216266	289619
855	216524	289373
856	216764	289103
857	217002	288830
858	217257	288580
859	217522	288344
860	217782	288099
861	218015	287820
862	218261	287558
863	218504	287293
864	218743	287022
865	219007	286783
866	219254	286523
